,correlation_mean,correlation_median,cosine_mean,cosine_median,top_paper_indices
0,0.49269344684324085,0.4772321334018984,0.4925585938915086,0.47720845241447585,"[7342, 7978, 3750, 9413, 847, 3267, 29, 1087, 5828, 7100]"
1,0.5679885107255108,0.5627064515214778,0.5672353112436438,0.5613239515730472,"[9394, 4309, 8201, 5986, 5359, 4941, 4829, 1428, 6219, 2619]"
2,0.6009379811765134,0.5701177556171655,0.6000649263122906,0.5688863928898795,"[8943, 10199, 5779, 6352, 7531, 9199, 3481, 5176, 7389, 7283]"
3,0.5678358625781501,0.5633563930051508,0.5678846960184059,0.5635094390130935,"[7008, 1844, 2353, 3207, 2338, 4806, 7498, 2638, 5006, 831]"
4,0.479896271332661,0.4755933796631924,0.47926278013794327,0.4738058723907702,"[2341, 5728, 5183, 9603, 6577, 8723, 4379, 5702, 5893, 9306]"
5,0.6368855844953731,0.6366377050124592,0.6366589029481419,0.6364380907674259,"[6197, 8663, 229, 5220, 82, 10712, 2106, 10527, 6685, 10863]"
6,0.5384671045793824,0.5383066303460997,0.5378845036518417,0.537295933777059,"[1150, 3876, 81, 10048, 6709, 1072, 4392, 8381, 6277, 7732]"
7,0.6450587415684114,0.6414502498558481,0.6456832242861043,0.6420221286929637,"[4163, 3555, 2529, 8240, 4229, 10336, 9198, 10470, 3027, 7399]"
8,0.5572222588521711,0.5568414902425189,0.5583850823738069,0.5582993183410706,"[9079, 5692, 7189, 3310, 2442, 10343, 4669, 8297, 2764, 9270]"
9,0.6639853790206233,0.6598715964690456,0.6637104186258853,0.659373165749825,"[5005, 3754, 5363, 5132, 8285, 2857, 1710, 4435, 5653, 807]"
10,0.6728757727854798,0.6714984787397358,0.6728588408049435,0.6716578285495798,"[323, 10958, 6480, 8472, 7395, 8410, 6790, 9399, 6017, 5575]"
11,0.6218733640626476,0.6238327778580502,0.6218890967141908,0.6238801065341222,"[7294, 1957, 3932, 8071, 2154, 8625, 585, 8555, 5484, 8030]"
12,0.6066020954762955,0.5993294083810985,0.6062521969218311,0.5989649762893096,"[4960, 2560, 7768, 7710, 3128, 5813, 1293, 7375, 6827, 5009]"
13,0.522611628730061,0.5130640258495462,0.5225402277309928,0.5123206129680581,"[4283, 5176, 6352, 10253, 845, 7531, 1480, 8080, 10170, 8983]"
14,0.586291742244354,0.5853416940557375,0.5866389722556284,0.585213623087517,"[6735, 6835, 5824, 4009, 6537, 10764, 4361, 9547, 3223, 1872]"
15,0.5862637102563484,0.5816589529813718,0.5853315932459153,0.580231016463986,"[777, 10699, 5624, 10769, 2965, 4603, 8097, 7285, 9409, 9155]"
16,0.5818608709098395,0.5710874965307217,0.5812774822429587,0.5707078661327638,"[5270, 10677, 3308, 9203, 1298, 9995, 10710, 2283, 9893, 4798]"
17,0.5974278977629041,0.5895458805156039,0.5972326267342732,0.5891675554258435,"[9014, 6087, 10559, 10404, 11016, 1275, 7319, 10324, 9005, 2527]"
18,0.6784153987069239,0.6714134063288907,0.6789752094882251,0.6730136073181384,"[8388, 7439, 4124, 7125, 6500, 7267, 807, 9507, 3156, 10914]"
19,0.5569632470212866,0.5471184668730698,0.5555461571154956,0.5442513856436254,"[2154, 8791, 7118, 3300, 7668, 1533, 1942, 1997, 10527, 5594]"
20,0.6408393663950258,0.6310658176045595,0.6409723992335449,0.6311716395403144,"[835, 7266, 1618, 9866, 762, 9180, 1543, 10342, 3039, 10591]"
21,0.5521600133092435,0.5512267431344176,0.5498767665610446,0.5491329412961037,"[10324, 9181, 3335, 6057, 567, 433, 987, 8408, 264, 5977]"
22,0.657770613540438,0.6457581243874408,0.6585748689360948,0.6477751488727018,"[152, 1963, 10091, 890, 231, 177, 6416, 824, 1090, 5787]"
23,0.6284584389665411,0.6293324195639209,0.6284894404353845,0.6297193782199466,"[4293, 8659, 5944, 9951, 6953, 8690, 9688, 5887, 3775, 6976]"
24,0.5032626379299721,0.4954598384002007,0.5030724171209319,0.4950832425030682,"[9541, 9578, 9332, 3806, 3303, 6596, 9304, 7917, 7724, 8686]"
25,0.6192030391890342,0.61373824382181,0.6191205522758377,0.613563018098739,"[390, 8365, 4564, 10514, 7020, 8690, 383, 5378, 6586, 7845]"
26,0.6194004050378894,0.6134687470060813,0.6187043475606001,0.6132192456923502,"[5106, 2460, 2531, 7978, 1335, 5256, 10703, 913, 4656, 5286]"
27,0.658011534939306,0.6547951032847521,0.6586167147241995,0.6558650662624763,"[5700, 8178, 9304, 3952, 804, 278, 1204, 10236, 3262, 9352]"
